"tag"	"gene"	"fc"	"pvals"	"Pool"	"VEH"	"VEH"	"VEH"	"VEM"	"VEM"	"VEM"
"RRUH-150412"	"CUL3"	0.729637437394934	0.187912543744349	"pool3"	0	0	931.715959099146	0.338763371413724	0.525756412322363	1549.10233959323
"RRUH-103948"	"CUL3"	11.7649683210094	0.05	"pool1"	82.2920089842233	59.081039334738	51.4613262285514	254064.787437578	226472.04789722	201012.48329289
"ULTRA-3327857"	"NF1"	8.88982609023235	0.05	"pool7"	3681.6960518567	1153.89464546916	1185.61762160934	963636.095814441	940935.628940044	953047.052101956
"RRUH-156067"	"NF1"	12.2189464043371	0.05	"pool3"	33.2679332269654	37.4602842349109	29.1224436966089	189461.88454741	119632.191329068	181222.382002926
"ULTRA-3483029"	"TF"	10.1281896096205	0.05	"pool12"	217.780554161451	298.792844075556	224.183070465594	346247.576826746	339612.758858934	146515.818743809
"ULTRA-3257836"	"FJX1"	9.70557734601204	0.05	"pool8"	193.592916182684	106.674545864587	102.866344308161	122123.653965664	92276.5651990745	124708.571299373
"ULTRA-3275945"	"MLNR"	9.56325831522589	0.05	"pool8"	203.212439968159	209.841418074052	428.389968069671	231232.622798888	176647.41113803	230969.193596674
"ULTRA-3325906"	"CARD17"	9.50884432993618	0.05	"pool8"	105.333785450951	295.469922007908	126.604731456198	136824.592623662	125945.063799561	123648.738809431
"ULTRA-3202394"	"C1QTNF7"	9.43799227572306	0.05	"pool8"	99.0810949903925	270.297205188799	138.913524792218	105638.733096985	134924.857083258	114076.331760273
"ULTRA-3304203"	"HOXD11"	9.08881443169741	0.05	"pool8"	60.6029998484925	242.235815947824	69.6765622771092	66720.5491619621	70243.1868286185	67508.0996436338
"ULTRA-3346308"	"PPY"	8.45708054152905	0.05	"pool8"	411.956106112967	622.92157440075	118.472135859186	118442.34740061	159671.097210652	128258.909204252
"ULTRA-3414819"	"FADS2"	8.44236114403819	0.05	"pool8"	130.82552348246	556.069441209017	438.940362357688	136014.234848006	130291.532430137	126370.388643602
"RRUH-160969"	"ZYG11B"	8.54197526685603	0.05	"pool4"	140.948247883458	139.369787243309	3187.61845723811	82434.0135909803	712988.980407119	498288.524877402
"RRUH-138172"	"ICA1L"	11.303268656544	0.05	"pool1"	195.273777094576	529.602436596592	183.62336858824	740782.491840745	768802.032187873	793868.652920338
"RRUH-105182"	"ERBB3"	11.8048615868693	0.05	"pool2"	17.478700187049	24.3277890697617	22.1004959645968	72086.0619403967	85511.6157177658	81782.8906237101
